Disc_ID,User_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
ID_JFPPYO,ID_UGSSHS8M,37:01.9,1,1,24
ID_VIH0CB,ID_UGSSHS8M,33:29.4,1,1,24
ID_VIH0CB,ID_UGSSHS8M,33:03.5,1,1,24
ID_AZ1OX9,ID_UGSSHS8M,35:44.3,1,1,24
ID_EXHMZ5,ID_UGSSHS8M,37:27.4,1,1,24
ID_GUZ7T8,ID_GKRH4XL7,23:31.7,1,1,6
ID_X5PLV5,ID_GKRH4XL7,21:10.1,1,1,6
ID_8S1OVP,ID_GKRH4XL7,55:26.0,1,1,24
ID_RAFDGN,ID_GKRH4XL7,47:29.0,1,1,14
ID_GCOB3J,ID_L3SE5MXW,12:52.0,1,1,7
ID_X5PLV5,ID_L3SE5MXW,25:24.3,1,1,21
ID_RAFDGN,ID_L3SE5MXW,28:10.0,1,1,13
ID_LC5LJX,ID_L3SE5MXW,43:33.3,1,1,11
ID_GCOB3J,ID_HC4BEZD4,54:42.0,1,1,7
ID_GWZR2P,ID_HC4BEZD4,08:35.2,1,1,7
ID_EY4LOW,ID_HC4BEZD4,37:33.1,1,1,3
ID_7OZ9Q4,ID_HC4BEZD4,03:11.0,1,1,9
ID_7OZ9Q4,ID_HC4BEZD4,12:48.4,1,1,9
ID_VMAW54,ID_HC4BEZD4,42:30.3,1,1,7
ID_VMAW54,ID_HC4BEZD4,04:12.6,1,1,7
ID_VMAW54,ID_HC4BEZD4,03:28.3,1,1,7
ID_O52TU4,ID_HC4BEZD4,18:15.8,1,1,9
ID_O52TU4,ID_HC4BEZD4,59:18.2,1,1,9
ID_AZ1OX9,ID_HC4BEZD4,07:11.0,1,1,1
ID_AZ1OX9,ID_HC4BEZD4,08:11.0,1,1,1
ID_LC5LJX,ID_HC4BEZD4,06:52.1,1,1,9
ID_HQOJBS,ID_HC4BEZD4,10:50.1,1,1,23
ID_HQOJBS,ID_HC4BEZD4,04:39.1,1,1,23
ID_HQOJBS,ID_HC4BEZD4,04:20.4,1,1,23
ID_GCOB3J,ID_D96RNL1K,18:38.0,1,1,7
ID_EY4LOW,ID_D96RNL1K,48:07.4,1,1,3
ID_O52TU4,ID_D96RNL1K,06:59.8,1,1,9
ID_AZ1OX9,ID_D96RNL1K,15:11.8,1,1,1
ID_LC5LJX,ID_D96RNL1K,22:56.2,1,1,9
ID_183IIQ,ID_D96RNL1K,13:45.3,1,1,14
ID_GCOB3J,ID_PROILWVY,04:23.6,1,1,9
ID_IRT1AX,ID_PROILWVY,31:23.9,1,1,23
ID_2FV7GY,ID_PROILWVY,52:06.8,1,1,9
ID_06XNM5,ID_PROILWVY,51:36.6,1,1,9
ID_GCOB3J,ID_6FWB89V7,14:42.8,1,1,15
ID_2WS956,ID_6FWB89V7,09:59.1,1,1,9
ID_VMAW54,ID_6FWB89V7,16:09.7,1,1,15
ID_O52TU4,ID_6FWB89V7,08:05.8,1,1,9
ID_J2D0N2,ID_6FWB89V7,13:11.1,1,1,15
ID_183IIQ,ID_6FWB89V7,27:12.9,1,1,14
ID_183IIQ,ID_6FWB89V7,58:21.6,1,1,14
ID_GCOB3J,ID_0SXRNUSA,09:22.9,1,1,7
ID_GWZR2P,ID_0SXRNUSA,04:01.0,1,1,7
ID_GWZR2P,ID_0SXRNUSA,25:27.5,1,1,7
ID_X5PLV5,ID_0SXRNUSA,10:36.9,1,1,7
ID_LC5LJX,ID_0SXRNUSA,58:11.0,1,1,13
ID_GCOB3J,ID_50JC7HOA,39:17.5,1,1,7
ID_GCOB3J,ID_45DGPFGT,41:30.1,1,1,7
ID_GCOB3J,ID_NK7LCLLL,45:54.4,1,1,7
ID_X5PLV5,ID_NK7LCLLL,46:11.6,1,1,7
ID_EY4LOW,ID_NK7LCLLL,54:01.8,1,1,7
ID_AZ1OX9,ID_NK7LCLLL,02:12.4,1,1,7
ID_GCOB3J,ID_TROKANDP,13:12.8,1,1,15
ID_GWZR2P,ID_TROKANDP,15:47.3,1,1,15
ID_2WS956,ID_TROKANDP,17:51.1,1,1,15
ID_LZETUI,ID_TROKANDP,17:16.7,1,1,15
ID_VMAW54,ID_TROKANDP,14:31.6,1,1,15
ID_O52TU4,ID_TROKANDP,20:22.8,1,1,15
ID_J2D0N2,ID_TROKANDP,32:29.4,1,1,15
ID_RAFDGN,ID_TROKANDP,31:57.2,1,1,15
ID_LC5LJX,ID_TROKANDP,30:39.9,1,1,15
ID_MNL3DD,ID_TROKANDP,07:09.2,1,1,15
ID_UI3DQF,ID_TROKANDP,32:58.1,1,1,15
ID_4PVVT3,ID_TROKANDP,32:13.5,1,1,15
ID_WXIWC8,ID_TROKANDP,39:48.7,1,1,21
ID_GCOB3J,ID_ZH2JCN29,15:40.4,1,1,7
ID_EY4LOW,ID_ZH2JCN29,04:22.9,1,1,3
ID_EY4LOW,ID_ZH2JCN29,05:38.5,1,1,3
ID_AZ1OX9,ID_ZH2JCN29,24:21.3,1,1,1
ID_GCOB3J,ID_G0CAVNIG,27:14.5,1,1,7
ID_GCOB3J,ID_FJVEPK9I,44:32.0,1,1,9
ID_2WS956,ID_FJVEPK9I,41:43.4,1,1,9
ID_X5PLV5,ID_FJVEPK9I,45:11.7,1,1,9
ID_LZETUI,ID_FJVEPK9I,42:36.1,1,1,9
ID_VMAW54,ID_FJVEPK9I,43:46.5,1,1,9
ID_GCOB3J,ID_OAT2Z0FH,17:58.8,1,1,7
ID_X5PLV5,ID_OAT2Z0FH,21:21.4,1,1,7
ID_X5PLV5,ID_OAT2Z0FH,20:58.8,1,1,7
ID_X5PLV5,ID_OAT2Z0FH,18:19.5,1,1,7
ID_EY4LOW,ID_OAT2Z0FH,13:58.8,1,1,3
ID_VMAW54,ID_OAT2Z0FH,14:15.4,1,1,7
ID_GCOB3J,ID_AC8HAGSZ,05:14.4,1,1,15
ID_GWZR2P,ID_AC8HAGSZ,14:33.2,1,1,15
ID_2FV7GY,ID_AC8HAGSZ,08:25.6,1,1,15
ID_EY4LOW,ID_AC8HAGSZ,17:13.5,1,1,15
ID_LZETUI,ID_AC8HAGSZ,13:44.9,1,1,15
ID_J2D0N2,ID_AC8HAGSZ,10:04.1,1,1,15
ID_RAFDGN,ID_AC8HAGSZ,11:46.4,1,1,15
ID_AZ1OX9,ID_AC8HAGSZ,07:04.2,1,1,15
ID_LC5LJX,ID_AC8HAGSZ,12:42.5,1,1,15
ID_UI3DQF,ID_AC8HAGSZ,10:42.3,1,1,15
ID_183IIQ,ID_AC8HAGSZ,11:16.2,1,1,15
ID_GCOB3J,ID_A47F76VX,43:00.1,1,1,7
ID_GWZR2P,ID_A47F76VX,36:25.6,1,1,7
ID_EY4LOW,ID_A47F76VX,37:52.2,1,1,7
ID_O52TU4,ID_A47F76VX,39:02.6,1,1,9
ID_LC5LJX,ID_A47F76VX,38:27.3,1,1,9
ID_06XNM5,ID_A47F76VX,40:49.7,1,1,7
ID_183IIQ,ID_A47F76VX,11:41.3,1,1,14
ID_WXIWC8,ID_A47F76VX,24:22.6,1,1,21
ID_GCOB3J,ID_TRKNIRH1,49:49.7,1,1,17
ID_2WS956,ID_TRKNIRH1,08:00.6,1,1,17
ID_J2D0N2,ID_TRKNIRH1,03:55.0,1,1,17
ID_AZ1OX9,ID_TRKNIRH1,34:55.9,1,1,5
ID_GCOB3J,ID_SD1IV0P4,20:02.0,1,1,9
ID_LZETUI,ID_SD1IV0P4,34:46.1,1,1,9
ID_VMAW54,ID_SD1IV0P4,22:02.6,1,1,7
ID_LC5LJX,ID_SD1IV0P4,13:27.2,1,1,9
ID_06XNM5,ID_SD1IV0P4,42:53.0,1,1,9
ID_GCOB3J,ID_OHF9F964,28:38.2,1,1,7
ID_GWZR2P,ID_OHF9F964,29:04.8,1,1,7
ID_8S1OVP,ID_OHF9F964,41:40.0,1,1,25
ID_AZ1OX9,ID_OHF9F964,18:38.4,1,1,6
ID_GCOB3J,ID_WIQA14K5,04:41.2,1,1,7
ID_GWZR2P,ID_WIQA14K5,20:26.6,1,1,7
ID_GCOB3J,ID_EPP97AH1,05:56.1,1,1,8
ID_GWZR2P,ID_EPP97AH1,06:12.2,1,1,8
ID_VIH0CB,ID_EPP97AH1,40:10.9,1,1,25
ID_8S1OVP,ID_EPP97AH1,41:27.1,1,1,25
ID_RAFDGN,ID_EPP97AH1,21:19.2,1,1,11
ID_4PVVT3,ID_EPP97AH1,17:47.9,1,1,11
ID_GWZR2P,ID_XHMLJX4I,19:57.4,1,1,9
ID_GWZR2P,ID_XHMLJX4I,19:38.9,1,1,9
ID_O52TU4,ID_XHMLJX4I,21:12.8,1,1,9
ID_GWZR2P,ID_VQTQLQQB,01:22.6,1,1,9
ID_2WS956,ID_VQTQLQQB,39:01.0,1,1,9
ID_IRT1AX,ID_VQTQLQQB,17:51.2,1,1,25
ID_LZETUI,ID_VQTQLQQB,39:32.1,1,1,9
ID_O52TU4,ID_VQTQLQQB,38:48.0,1,1,9
ID_GWZR2P,ID_TQM9E72F,04:17.6,1,1,7
ID_GWZR2P,ID_TQM9E72F,05:21.2,1,1,7
ID_VMAW54,ID_TQM9E72F,50:26.5,1,1,7
ID_XCC6W4,ID_TQM9E72F,22:36.5,1,1,5
ID_4PVVT3,ID_TQM9E72F,08:36.9,1,1,11
ID_183IIQ,ID_TQM9E72F,19:03.1,1,1,14
ID_0H4NG2,ID_TQM9E72F,24:22.7,1,1,1
ID_0H4NG2,ID_TQM9E72F,22:40.7,1,1,1
ID_GWZR2P,ID_MDMNDVNF,04:27.8,1,1,7
ID_GWZR2P,ID_UPB47BLL,08:30.0,1,1,7
ID_2WS956,ID_UPB47BLL,30:24.8,1,1,9
ID_2FV7GY,ID_UPB47BLL,52:45.1,1,1,1
ID_EY4LOW,ID_UPB47BLL,47:11.1,1,1,7
ID_VMAW54,ID_UPB47BLL,56:55.3,1,1,7
ID_O52TU4,ID_UPB47BLL,29:21.3,1,1,9
ID_O52TU4,ID_UPB47BLL,57:35.8,1,1,9
ID_VIH0CB,ID_UPB47BLL,32:19.3,1,1,24
ID_LC5LJX,ID_UPB47BLL,53:45.9,1,1,9
ID_183IIQ,ID_UPB47BLL,40:52.2,1,1,14
ID_GWZR2P,ID_TKS7NQ48,40:04.3,1,1,21
ID_OEPBI2,ID_TKS7NQ48,01:58.9,1,1,21
ID_EY4LOW,ID_TKS7NQ48,18:11.8,1,1,21
ID_VMAW54,ID_TKS7NQ48,04:07.1,1,1,21
ID_VIH0CB,ID_TKS7NQ48,27:29.8,1,1,24
ID_LC5LJX,ID_TKS7NQ48,13:04.9,1,1,21
ID_06XNM5,ID_TKS7NQ48,07:31.5,1,1,21
ID_WXIWC8,ID_TKS7NQ48,01:37.0,1,1,21
ID_WXIWC8,ID_TKS7NQ48,08:53.8,1,1,21
ID_WXIWC8,ID_TKS7NQ48,52:44.9,1,1,21
ID_WXIWC8,ID_TKS7NQ48,59:52.8,1,1,21
ID_GWZR2P,ID_4DS3ZDJ2,19:18.5,1,1,7
ID_2WS956,ID_4DS3ZDJ2,00:26.7,1,1,9
ID_IRT1AX,ID_4DS3ZDJ2,11:27.5,1,1,23
ID_VMAW54,ID_4DS3ZDJ2,20:24.9,1,1,7
ID_O52TU4,ID_4DS3ZDJ2,59:33.9,1,1,9
ID_LC5LJX,ID_4DS3ZDJ2,57:36.3,1,1,9
ID_HQOJBS,ID_4DS3ZDJ2,13:10.8,1,1,23
ID_X3K36G,ID_4DS3ZDJ2,12:18.6,1,1,23
ID_GWZR2P,ID_BE45JKBG,20:46.2,1,1,9
ID_EY4LOW,ID_BE45JKBG,28:22.1,1,1,9
ID_O52TU4,ID_BE45JKBG,45:52.8,1,1,9
ID_GWZR2P,ID_X4BO0YND,00:37.5,1,1,7
ID_2WS956,ID_X4BO0YND,03:07.7,1,1,9
ID_IRT1AX,ID_X4BO0YND,45:55.1,1,1,23
ID_EY4LOW,ID_X4BO0YND,22:54.0,1,1,3
ID_VMAW54,ID_X4BO0YND,51:59.7,1,1,7
ID_AZ1OX9,ID_X4BO0YND,26:09.5,1,1,3
ID_5EFKFF,ID_8TR2N13Q,29:55.2,1,1,11
ID_5EFKFF,ID_N5T4H4U2,20:42.3,1,1,15
ID_5EFKFF,ID_SLSAWSP7,50:15.4,1,1,15
ID_2WS956,ID_1IZ0GTAH,24:03.0,1,1,17
ID_EY4LOW,ID_1IZ0GTAH,15:42.2,1,1,3
ID_AZ1OX9,ID_1IZ0GTAH,59:30.0,1,1,1
ID_2WS956,ID_W79CZ46B,31:53.3,1,1,13
ID_RAFDGN,ID_W79CZ46B,31:47.2,1,1,13
ID_AZ1OX9,ID_W79CZ46B,32:04.7,1,1,13
ID_2WS956,ID_P916FDBR,26:19.4,1,1,17
ID_J2D0N2,ID_P916FDBR,24:56.8,1,1,17
ID_UI3DQF,ID_P916FDBR,25:27.6,1,1,17
ID_2WS956,ID_CRRNZ62V,50:28.3,1,1,11
ID_RAFDGN,ID_CRRNZ62V,26:05.1,1,1,11
ID_LC5LJX,ID_CRRNZ62V,26:21.4,1,1,11
ID_2WS956,ID_XVDCDH50,20:57.8,1,1,23
ID_EY4LOW,ID_XVDCDH50,23:39.4,1,1,23
ID_VMAW54,ID_XVDCDH50,24:53.4,1,1,23
ID_2WS956,ID_5F9NZW6M,40:53.2,1,1,19
ID_J2D0N2,ID_5F9NZW6M,33:17.2,1,1,17
ID_J2D0N2,ID_5F9NZW6M,36:29.0,1,1,17
ID_VKQCEJ,ID_5F9NZW6M,02:26.7,1,1,24
ID_VKQCEJ,ID_5F9NZW6M,09:42.0,1,1,24
ID_OEPBI2,ID_AQIBV924,01:34.5,1,1,21
ID_N2R95F,ID_AQIBV924,04:53.7,1,1,21
ID_IRT1AX,ID_MVWRQYKA,00:20.3,1,1,23
ID_IRT1AX,ID_UMCUVYUV,30:05.7,1,1,23
ID_IRT1AX,ID_D3UVPXOX,32:28.8,1,1,23
ID_IRT1AX,ID_G8MVM42E,30:05.2,1,1,26
ID_VIH0CB,ID_G8MVM42E,21:07.1,1,1,26
ID_8S1OVP,ID_G8MVM42E,21:28.5,1,1,26
ID_UI3DQF,ID_G8MVM42E,31:41.0,1,1,26
ID_WXIWC8,ID_G8MVM42E,31:20.3,1,1,26
ID_IRT1AX,ID_RIRPY9XW,10:11.5,1,1,26
ID_O52TU4,ID_RIRPY9XW,10:17.8,1,1,9
ID_8S1OVP,ID_RIRPY9XW,10:01.7,1,1,26
ID_IRT1AX,ID_86CVTGTO,07:09.0,1,1,26
ID_VIH0CB,ID_86CVTGTO,10:29.7,1,1,26
ID_8S1OVP,ID_86CVTGTO,06:50.7,1,1,26
ID_RAFDGN,ID_86CVTGTO,08:34.0,1,1,26
ID_HQOJBS,ID_86CVTGTO,11:17.0,1,1,26
ID_X3K36G,ID_86CVTGTO,10:55.3,1,1,26
ID_IRT1AX,ID_7Q8ED57K,41:13.0,1,1,25
ID_8S1OVP,ID_7Q8ED57K,40:05.2,1,1,25
ID_LC5LJX,ID_7Q8ED57K,01:15.9,1,1,9
ID_UI3DQF,ID_7Q8ED57K,29:02.0,1,1,15
ID_4PVVT3,ID_7Q8ED57K,15:19.7,1,1,11
ID_IRT1AX,ID_W942LN7F,21:59.7,1,1,23
ID_KFGQRF,ID_W942LN7F,26:08.8,1,1,23
ID_IRT1AX,ID_FT9I8T0Q,15:52.5,1,1,24
ID_IRT1AX,ID_T92N5NBN,51:56.4,1,1,23
ID_HQOJBS,ID_T92N5NBN,11:24.1,1,1,23
ID_IRT1AX,ID_QRKEM9KT,53:47.5,1,1,23
ID_2FV7GY,ID_XI26BCDB,19:09.7,1,1,5
ID_AZ1OX9,ID_XI26BCDB,18:42.9,1,1,5
ID_06XNM5,ID_XI26BCDB,18:26.2,1,1,5
ID_2FV7GY,ID_1IXLFBL0,15:54.7,1,1,21
ID_LZETUI,ID_1IXLFBL0,17:36.0,1,1,17
ID_VIH0CB,ID_1IXLFBL0,44:10.1,1,1,24
ID_RAFDGN,ID_1IXLFBL0,13:25.6,1,1,21
ID_183IIQ,ID_1IXLFBL0,16:29.8,1,1,21
ID_2FV7GY,ID_ZELO1E3N,16:21.7,1,1,1
ID_2FV7GY,ID_JAGR33YS,29:32.3,1,1,3
ID_EY4LOW,ID_JAGR33YS,31:55.3,1,1,3
ID_X5PLV5,ID_QKHJA5U9,05:19.7,1,1,5
ID_EY4LOW,ID_29WTP570,06:38.5,1,1,3
ID_EY4LOW,ID_29WTP570,33:41.0,1,1,3
ID_AZ1OX9,ID_29WTP570,12:31.1,1,1,5
ID_EY4LOW,ID_MNUN0Q5A,47:57.7,1,1,3
ID_EY4LOW,ID_2D87FL7J,57:00.1,1,1,3
ID_4PVVT3,ID_2D87FL7J,28:27.2,1,1,11
ID_EY4LOW,ID_LSIU7P17,21:47.9,1,1,3
ID_LC5LJX,ID_LSIU7P17,24:23.8,1,1,17
ID_EY4LOW,ID_WXIO8176,27:29.4,1,1,3
ID_X3K36G,ID_WXIO8176,54:30.9,1,1,24
ID_EY4LOW,ID_BCZJIHNV,54:02.5,1,1,3
ID_EY4LOW,ID_EDOLTBN7,49:39.6,1,1,3
ID_WXIWC8,ID_EDOLTBN7,16:38.4,1,1,21
ID_JFPPYO,ID_0SHLNT1X,32:16.6,1,1,3
ID_JFPPYO,ID_AEPMXYOA,15:33.7,1,1,3
ID_TV9UIV,ID_AEPMXYOA,16:07.9,1,1,3
ID_JFPPYO,ID_6LC7MRM9,43:44.6,1,1,5
ID_EXHMZ5,ID_6LC7MRM9,43:27.4,1,1,5
ID_TV9UIV,ID_6LC7MRM9,43:59.6,1,1,5
ID_JFPPYO,ID_58RN57JT,37:30.4,1,1,5
ID_EXHMZ5,ID_58RN57JT,37:15.8,1,1,5
ID_XCC6W4,ID_58RN57JT,50:15.4,1,1,5
ID_XCC6W4,ID_58RN57JT,47:25.1,1,1,5
ID_XCC6W4,ID_58RN57JT,10:15.3,1,1,5
ID_XCC6W4,ID_58RN57JT,40:47.5,1,1,5
ID_TV9UIV,ID_58RN57JT,37:38.9,1,1,5
ID_JFPPYO,ID_29J8IAHO,47:28.5,1,1,11
ID_EXHMZ5,ID_29J8IAHO,46:05.6,1,1,11
ID_XCC6W4,ID_29J8IAHO,45:26.4,1,1,11
ID_TV9UIV,ID_29J8IAHO,47:50.6,1,1,11
ID_JFPPYO,ID_Y5D6LTDR,12:09.1,1,1,23
ID_TV9UIV,ID_Y5D6LTDR,12:29.0,1,1,23
ID_EEODEA,ID_7AYDNLJE,21:09.8,1,1,9
ID_EEODEA,ID_YINLU546,45:16.4,1,1,9
ID_EEODEA,ID_EC0ZFXWP,50:49.5,1,1,9
ID_E0NHSS,ID_M4UKEVG6,19:19.2,1,1,14
ID_E0NHSS,ID_8ECC89TK,38:35.4,1,1,19
ID_E0NHSS,ID_XTZUCEHB,38:32.3,1,1,23
ID_3XKIOF,ID_CKK2BCMY,30:04.9,1,1,3
ID_VMAW54,ID_K5CNBB1X,52:59.4,1,1,7
ID_VMAW54,ID_QVSCVUXW,54:36.1,1,1,17
ID_4PVVT3,ID_QVSCVUXW,53:22.2,1,1,17
ID_VMAW54,ID_CQ23EV8G,11:09.0,1,1,14
ID_RAFDGN,ID_CQ23EV8G,10:31.9,1,1,14
ID_AZ1OX9,ID_CQ23EV8G,51:58.1,1,1,1
ID_LC5LJX,ID_CQ23EV8G,10:39.6,1,1,14
ID_06XNM5,ID_CQ23EV8G,12:08.6,1,1,14
ID_4PVVT3,ID_CQ23EV8G,10:06.1,1,1,14
ID_VMAW54,ID_R09HV957,19:16.3,1,1,7
ID_VMAW54,ID_0XD46RXY,21:00.6,1,1,7
ID_VMAW54,ID_KF4PI76O,29:05.5,1,1,7
ID_VKQCEJ,ID_KF4PI76O,20:49.3,1,1,23
ID_RB6G64,ID_KF4PI76O,32:20.9,1,1,7
ID_O52TU4,ID_2TRNWL76,56:15.5,1,1,9
ID_183IIQ,ID_2TRNWL76,24:11.4,1,1,14
ID_O52TU4,ID_5MT9BGHX,19:02.1,1,1,9
ID_O52TU4,ID_CAF56X8R,39:23.1,1,1,9
ID_LC5LJX,ID_CAF56X8R,39:20.6,1,1,9
ID_O52TU4,ID_WKE4ZMZH,40:27.2,1,1,9
ID_O52TU4,ID_PIIAYJVO,26:26.4,1,1,18
ID_O52TU4,ID_NCZM5RWJ,35:47.0,1,1,9
ID_O52TU4,ID_NDF6HRIQ,39:04.2,1,1,18
ID_LC5LJX,ID_NDF6HRIQ,38:23.4,1,1,18
ID_VIH0CB,ID_LSFLNLSY,52:59.0,1,1,25
ID_4PVVT3,ID_LSFLNLSY,00:22.5,1,1,11
ID_AZ1OX9,ID_6NWT2NGR,37:18.5,1,1,1
ID_LC5LJX,ID_6NWT2NGR,51:50.6,1,1,9
ID_RAFDGN,ID_KSX7XHWI,54:55.3,1,1,13
ID_RAFDGN,ID_CJSRH1UI,03:22.6,1,1,11
ID_RAFDGN,ID_XJXURQNL,41:47.9,1,1,13
ID_4PVVT3,ID_XJXURQNL,41:30.5,1,1,13
ID_183IIQ,ID_XJXURQNL,37:30.7,1,1,14
ID_RAFDGN,ID_GAO6MXXR,47:17.7,1,1,23
ID_5BM2LU,ID_RPGHKEPG,34:45.9,1,1,3
ID_AZ1OX9,ID_K826E45C,27:34.1,1,1,1
ID_AZ1OX9,ID_SJD8B05K,44:32.5,1,1,1
ID_AZ1OX9,ID_UMS75BV8,46:28.5,1,1,11
ID_AZ1OX9,ID_HEVCM22Q,10:20.5,1,1,1
ID_LC5LJX,ID_LU9CRF87,54:57.3,1,1,13
ID_LC5LJX,ID_WOUV6BPC,35:05.1,1,1,9
ID_4PVVT3,ID_WOUV6BPC,33:17.7,1,1,13
ID_LC5LJX,ID_R00AHTOY,25:51.4,1,1,15
ID_EXHMZ5,ID_4856WUKZ,07:34.9,1,1,3
ID_EXHMZ5,ID_69ERQ6DX,07:59.7,1,1,3
ID_MZC11A,ID_C78MA4IQ,13:25.3,1,1,26
ID_XCC6W4,ID_2PM1IV9P,50:00.0,1,1,5
ID_MNL3DD,ID_G9S6K2SW,04:07.1,1,1,17
ID_MNL3DD,ID_3D9A1LYM,53:45.6,1,1,15
ID_MNL3DD,ID_OSRWTQ0L,47:57.8,1,1,25
ID_MNL3DD,ID_QW10DJGV,36:12.8,1,1,23
ID_A1S4P3,ID_8V5LX70S,53:25.2,1,1,25
ID_OIGXGK,ID_TELWELZ0,52:37.1,1,1,9
ID_31HAFP,ID_BWDAPEER,38:50.9,1,1,5
ID_XFR0NE,ID_BWDAPEER,37:47.4,1,1,5
ID_4PVVT3,ID_YCIFFCJA,14:37.6,1,1,11
ID_VU85LR,ID_UVOAJFFR,00:49.1,1,1,1
ID_VU85LR,ID_YVGPS54D,55:22.4,1,1,9
ID_VU85LR,ID_LZ6CHUFU,46:49.3,1,1,1
ID_VU85LR,ID_EMWATOK0,24:22.1,1,1,5
ID_VU85LR,ID_UUSRFKUL,15:27.6,1,1,9
ID_VU85LR,ID_A0V01O79,11:17.9,1,1,21
ID_UQJ7N1,ID_E4LZLFAX,52:18.3,1,1,21
ID_UQJ7N1,ID_E4LZLFAX,04:30.9,1,1,22
ID_3O6J83,ID_SEV7OJW9,35:25.1,1,1,16
ID_3O6J83,ID_SEV7OJW9,32:42.6,1,1,21
ID_WP7PFE,ID_ASF2Z800,08:28.1,1,1,25
ID_WP7PFE,ID_ASF2Z800,09:55.5,1,1,25
ID_N09MUK,ID_ASF2Z800,07:19.1,1,1,24
ID_N09MUK,ID_ASF2Z800,06:53.8,1,1,24
ID_WXIWC8,ID_4JWH40NF,22:14.8,1,1,21
ID_WXIWC8,ID_EHL6XACL,11:32.8,1,1,21
ID_KFGQRF,ID_R48FY71V,41:52.2,1,1,25
ID_XJD6LF,ID_NOY58Z0R,48:32.3,1,1,3
ID_AJORM6,ID_G0CFJH9Z,39:00.9,1,1,23
ID_4R4V7V,ID_JKCAR4CP,40:41.7,1,1,25
ID_ZGEWPJ,ID_LNXTXN3P,32:47.4,1,1,5
ID_DK2VV3,ID_L9ELDRMB,12:27.4,1,1,14
ID_DK2VV3,ID_GPXBD1BG,11:25.3,1,1,14
ID_5MJRT0,ID_2F218EUV,53:36.1,1,1,15
ID_RMQMJA,ID_9W2RXCMI,06:35.2,1,1,23
ID_AXOSKY,ID_SZY7UVP1,18:54.0,1,2,18
ID_LBF8N2,ID_PG64ZY18,42:31.1,1,2,13
ID_LBF8N2,ID_PG64ZY18,49:44.3,1,2,13
ID_5WVAGS,ID_E7SKL6R4,00:22.6,1,2,16
ID_EY2BJG,ID_FU9487VT,55:00.4,1,2,20
ID_441BAB,ID_EF5JPUZW,44:29.4,1,2,22
ID_10B2CG,ID_PQG4U6Z9,05:39.6,1,2,12
ID_9OM3J1,ID_HA5GD0UH,43:08.7,1,2,22
ID_9OM3J1,ID_3GVBNS1Y,51:07.5,1,2,15
ID_KWJRBL,ID_VHKMHN5V,31:31.0,1,2,24
ID_5EFKFF,ID_MIWOBU0G,43:18.7,1,2,20
ID_IRT1AX,ID_WPWX9JIA,40:24.6,1,2,16
ID_E0NHSS,ID_NGE46H5V,32:30.9,1,2,15
